Date,BDI,BDI_status,BCI,BCI_status,BPI,BPI_status,BSI,BSI_status,BHSI,BHSI_status
2022-03-22,2546.0,real,2175.0,real,3111.0,real,2983.0,real,1715.0,real
2022-03-23,2575.0,real,2100.0,real,3272.0,real,3016.0,real,1745.0,real
2022-03-24,2567.0,real,1969.0,real,3379.0,real,3033.0,real,1769.0,real
2022-03-25,2544.0,real,1887.0,real,3413.0,real,3020.0,real,1782.0,real
2022-03-28,2484.0,real,1734.0,real,3416.0,real,2991.0,real,1787.0,real
2022-03-29,2417.0,real,1639.0,real,3337.0,real,2946.0,real,1774.0,real
2022-03-30,2369.0,real,1646.0,real,3236.0,real,2875.0,real,1755.0,real
2022-03-31,2358.0,real,1760.0,real,3141.0,real,2808.0,real,1735.0,real
2022-04-01,2357.0,real,1864.0,real,3073.0,real,2755.0,real,1695.0,real
2022-04-04,2307.0,real,1796.0,real,3015.0,real,2717.0,real,1672.0,real
2022-04-05,2213.0,real,1624.0,real,2951.0,real,2660.0,real,1639.0,real
2022-04-06,2128.0,real,1490.0,real,2868.0,real,2605.0,real,1605.0,real
2022-04-07,2061.0,real,1417.0,real,2778.0,real,2547.0,real,1568.0,real
2022-04-08,2055.0,real,1444.0,real,2777.0,real,2502.0,real,1544.0,real
2022-04-11,2031.0,real,1395.0,real,2785.0,real,2473.0,real,1520.0,real
2022-04-12,2035.0,real,1368.0,real,2862.0,real,2448.0,real,1505.0,real
2022-04-13,2068.0,real,1371.0,real,2968.0,real,2461.0,real,1472.0,real
2022-04-14,2137.0,real,1481.0,real,3042.0,real,2497.0,real,1449.0,real
2022-04-19,2115.0,real,1342.0,real,3079.0,real,2541.0,real,1448.0,real
2022-04-20,2142.0,real,1363.0,real,3087.0,real,2596.0,real,1459.0,real
2022-04-21,2239.0,real,1636.0,real,3047.0,real,2646.0,real,1473.0,real
2022-04-22,2307.0,real,1845.0,real,3004.0,real,2678.0,real,1504.0,real
2022-04-25,2356.0,real,2003.0,real,2967.0,real,2699.0,real,1538.0,real
2022-04-26,2404.0,real,2169.0,real,2919.0,real,2714.0,real,1564.0,real
2022-04-27,2425.0,real,2226.0,real,2904.0,real,2736.0,real,1574.0,real
2022-04-28,2403.0,real,2149.0,real,2914.0,real,2736.0,real,1582.0,real
2022-04-29,2404.0,real,2136.0,real,2938.0,real,2734.0,real,1593.0,real
2022-05-03,2412.0,real,2147.0,real,2955.0,real,2733.0,real,1609.0,real
2022-05-04,2485.0,real,2319.0,real,3013.0,real,2732.0,real,1620.0,real
2022-05-05,2644.0,real,2721.0,real,3110.0,real,2732.0,real,1632.0,real
2022-05-06,2718.0,real,2894.0,real,3175.0,real,2729.0,real,1640.0,real
2022-05-09,2831.0,real,3185.0,real,3233.0,real,2732.0,real,1650.0,real
2022-05-10,2939.0,real,3461.0,real,3277.0,real,2746.0,real,1661.0,real
2022-05-11,3052.0,real,3756.0,real,3316.0,real,2759.0,real,1665.0,real
2022-05-12,3117.0,real,3965.0,real,3310.0,real,2750.0,real,1665.0,real
2022-05-13,3104.0,real,3947.0,real,3283.0,real,2752.0,real,1673.0,real
2022-05-16,3085.0,real,3929.0,real,3241.0,real,2748.0,real,1667.0,real
2022-05-17,3095.0,real,3950.0,real,3254.0,real,2745.0,real,1663.0,real
2022-05-18,3189.0,real,4164.0,real,3327.0,real,2758.0,real,1667.0,real
2022-05-19,3289.0,real,4385.0,real,3370.0,real,2800.0,real,1664.0,real
2022-05-20,3344.0,real,4526.0,real,3382.0,real,2816.0,real,1662.0,real
2022-05-23,3369.0,real,4602.0,real,3377.0,real,2818.0,real,1664.0,real
2022-05-24,3253.0,real,4288.0,real,3321.0,real,2828.0,real,1662.0,real
2022-05-25,3127.0,real,3987.0,real,3218.0,real,2833.0,real,1656.0,real
2022-05-26,2933.0,real,3478.0,real,3140.0,real,2823.0,real,1652.0,real
2022-05-27,2681.0,real,2818.0,real,3048.0,real,2796.0,real,1647.0,real
2022-05-30,2571.0,real,2594.0,real,2944.0,real,2774.0,real,1640.0,real
2022-05-31,2566.0,real,2668.0,real,2873.0,real,2743.0,real,1614.0,real
2022-06-01,2633.0,real,2927.0,real,2851.0,real,2703.0,real,1595.0,real
2022-06-06,2560.0,real,2757.0,real,2841.0,real,2660.0,real,1565.0,real
2022-06-07,2514.0,real,2668.0,real,2815.0,real,2632.0,real,1537.0,real
2022-06-08,2410.0,real,2457.0,real,2747.0,real,2585.0,real,1510.0,real
2022-06-09,2342.0,real,2369.0,real,2674.0,real,2527.0,real,1469.0,real
2022-06-10,2320.0,real,2371.0,real,2629.0,real,2495.0,real,1417.0,real
2022-06-13,2260.0,real,2246.0,real,2600.0,real,2463.0,real,1400.0,real
2022-06-14,2284.0,real,2308.0,real,2629.0,real,2451.0,real,1372.0,real
2022-06-15,2387.0,real,2551.0,real,2706.0,real,2454.0,real,1349.0,real
2022-06-16,2462.0,real,2702.0,real,2790.0,real,2460.0,real,1341.0,real
2022-06-17,2578.0,real,2987.0,real,2862.0,real,2467.0,real,1343.0,real
2022-06-20,2596.0,real,3031.0,real,2872.0,real,2470.0,real,1336.0,real
2022-06-21,2484.0,real,2710.0,real,2851.0,real,2471.0,real,1336.0,real
2022-06-22,2349.0,real,2343.0,real,2797.0,real,2475.0,real,1338.0,real
2022-06-23,2354.0,real,2419.0,real,2732.0,real,2466.0,real,1339.0,real
2022-06-24,2331.0,real,2396.0,real,2695.0,real,2449.0,real,1334.0,real
2022-06-27,2295.0,real,2332.0,real,2652.0,real,2439.0,real,1334.0,real
2022-06-28,2204.0,real,2152.0,real,2566.0,real,2416.0,real,1313.0,real
2022-06-29,2186.0,real,2200.0,real,2510.0,real,2359.0,real,1297.0,real
2022-06-30,2240.0,real,2434.0,real,2485.0,real,2306.0,real,1285.0,real
2022-07-01,2214.0,real,2381.0,real,2477.0,real,2290.0,real,1276.0,real
2022-07-04,2159.0,real,2228.0,real,2469.0,real,2282.0,real,1256.0,real
2022-07-05,2098.0,real,2084.0,real,2441.0,real,2265.0,real,1239.0,real
2022-07-06,2043.0,real,2000.0,real,2363.0,real,2247.0,real,1219.0,real
2022-07-07,2073.0,real,2205.0,real,2278.0,real,2203.0,real,1200.0,real
